label,start,end,time_interval,group,color
Tramitação - Casa Revisora (Senado),2016-12-14T22:16:00Z,2018-07-13T15:07:35Z,0,Global,#f37340
Apresentação,2016-03-16T14:03:00Z,2016-12-15T15:33:00Z,NA,Casa,#d6952a
Comissões,2016-12-15T15:33:00Z,2018-07-13T15:07:35Z,NA,Casa,#938ecc
CD-MESA-PLEN,2016-03-16T14:03:00Z,2016-12-15T10:46:00Z,NA,Comissão,NA
SECAP(SGM),2016-12-15T10:46:00Z,2018-07-13T15:07:35Z,NA,Comissão,NA
requerimento_apensacao,2017-03-13T16:02:00Z,2017-03-13T16:02:00Z,NA,Evento,#a9a9a9
requerimento_redistribuicao,2017-04-18T15:07:00Z,2017-04-18T15:07:00Z,NA,Evento,#a9a9a9
requerimento_redistribuicao,2017-05-09T11:55:00Z,2017-05-09T11:55:00Z,NA,Evento,#a9a9a9
criacao_comissao_temporaria,2017-08-15T00:00:00Z,2017-08-15T00:00:00Z,NA,Evento,#a9a9a9
requerimento_urgencia,2017-08-15T16:49:00Z,2017-08-15T16:49:00Z,NA,Evento,#a9a9a9
requerimento_audiencia_publica,2017-09-12T18:00:00Z,2017-09-12T18:00:00Z,NA,Evento,#a9a9a9
requerimento_audiencia_publica,2017-09-12T18:53:00Z,2017-09-12T18:53:00Z,NA,Evento,#a9a9a9
aprovacao_audiencia_publica,2017-09-13T14:30:00Z,2017-09-13T14:30:00Z,NA,Evento,#a9a9a9
requerimento_audiencia_publica,2017-09-13T14:53:00Z,2017-09-13T14:53:00Z,NA,Evento,#a9a9a9
requerimento_audiencia_publica,2017-09-13T15:54:00Z,2017-09-13T15:54:00Z,NA,Evento,#a9a9a9
requerimento_prorrogacao,2017-09-14T11:29:00Z,2017-09-14T11:29:00Z,NA,Evento,#a9a9a9
requerimento_audiencia_publica,2017-09-20T10:22:00Z,2017-09-20T10:22:00Z,NA,Evento,#a9a9a9
requerimento_audiencia_publica,2017-09-26T16:08:00Z,2017-09-26T16:08:00Z,NA,Evento,#a9a9a9
requerimento_audiencia_publica,2017-09-26T16:09:00Z,2017-09-26T16:09:00Z,NA,Evento,#a9a9a9
requerimento_audiencia_publica,2017-09-26T16:10:00Z,2017-09-26T16:10:00Z,NA,Evento,#a9a9a9
requerimento_audiencia_publica,2017-09-27T18:38:00Z,2017-09-27T18:38:00Z,NA,Evento,#a9a9a9
requerimento_prorrogacao,2017-10-04T10:07:00Z,2017-10-04T10:07:00Z,NA,Evento,#a9a9a9
requerimento_audiencia_publica,2017-10-23T15:53:00Z,2017-10-23T15:53:00Z,NA,Evento,#a9a9a9
requerimento_audiencia_publica,2017-10-24T15:43:00Z,2017-10-24T15:43:00Z,NA,Evento,#a9a9a9
requerimento_audiencia_publica,2017-10-25T16:38:00Z,2017-10-25T16:38:00Z,NA,Evento,#a9a9a9
requerimento_prorrogacao,2017-10-31T13:55:00Z,2017-10-31T13:55:00Z,NA,Evento,#a9a9a9
requerimento_audiencia_publica,2017-11-06T16:17:00Z,2017-11-06T16:17:00Z,NA,Evento,#a9a9a9
aprovacao_audiencia_publica,2017-11-07T14:30:00Z,2017-11-07T14:30:00Z,NA,Evento,#a9a9a9
requerimento_prorrogacao,2017-11-29T14:08:00Z,2017-11-29T14:08:00Z,NA,Evento,#a9a9a9
requerimento_prorrogacao,2017-12-13T15:33:00Z,2017-12-13T15:33:00Z,NA,Evento,#a9a9a9
requerimento_prorrogacao,2018-02-27T11:38:00Z,2018-02-27T11:38:00Z,NA,Evento,#a9a9a9
requerimento_prorrogacao,2018-03-20T09:55:00Z,2018-03-20T09:55:00Z,NA,Evento,#a9a9a9
requerimento_prorrogacao,2018-04-11T09:04:00Z,2018-04-11T09:04:00Z,NA,Evento,#a9a9a9
requerimento_prorrogacao,2018-05-04T15:48:00Z,2018-05-04T15:48:00Z,NA,Evento,#a9a9a9
requerimento_prorrogacao,2018-05-29T09:14:00Z,2018-05-29T09:14:00Z,NA,Evento,#a9a9a9
requerimento_prorrogacao,2018-06-26T09:47:00Z,2018-06-26T09:47:00Z,NA,Evento,#a9a9a9
