label,start,end,group,color,time_interval
requerimento_apensacao,2016-12-21T16:30:00Z,2016-12-21T16:30:00Z,Evento,#a9a9a9,NA
criacao_comissao_temporaria,2017-02-07T00:00:00Z,2017-02-07T00:00:00Z,Evento,#a9a9a9,NA
requerimento_audiencia_publica,2018-05-29T15:44:00Z,2018-05-29T15:44:00Z,Evento,#a9a9a9,NA
requerimento_audiencia_publica,2018-05-30T11:11:00Z,2018-05-30T11:11:00Z,Evento,#a9a9a9,NA
requerimento_audiencia_publica,2018-05-30T11:37:00Z,2018-05-30T11:37:00Z,Evento,#a9a9a9,NA
requerimento_audiencia_publica,2018-05-30T12:15:00Z,2018-05-30T12:15:00Z,Evento,#a9a9a9,NA
requerimento_audiencia_publica,2018-05-30T16:32:00Z,2018-05-30T16:32:00Z,Evento,#a9a9a9,NA
requerimento_audiencia_publica,2018-06-04T17:25:00Z,2018-06-04T17:25:00Z,Evento,#a9a9a9,NA
requerimento_audiencia_publica,2018-06-04T17:26:00Z,2018-06-04T17:26:00Z,Evento,#a9a9a9,NA
requerimento_audiencia_publica,2018-06-04T17:54:00Z,2018-06-04T17:54:00Z,Evento,#a9a9a9,NA
requerimento_audiencia_publica,2018-06-04T17:55:00Z,2018-06-04T17:55:00Z,Evento,#a9a9a9,NA
requerimento_audiencia_publica,2018-06-04T17:56:00Z,2018-06-04T17:56:00Z,Evento,#a9a9a9,NA
aprovacao_audiencia_publica,2018-06-05T14:30:00Z,2018-06-05T14:30:00Z,Evento,#a9a9a9,NA
requerimento_prorrogacao,2018-06-05T16:26:00Z,2018-06-05T16:26:00Z,Evento,#a9a9a9,NA
requerimento_audiencia_publica,2018-06-07T10:44:00Z,2018-06-07T10:44:00Z,Evento,#a9a9a9,NA
requerimento_audiencia_publica,2018-06-12T09:09:00Z,2018-06-12T09:09:00Z,Evento,#a9a9a9,NA
requerimento_prorrogacao,2018-06-28T16:21:00Z,2018-06-28T16:21:00Z,Evento,#a9a9a9,NA
aprovacao_audiencia_publica,2018-07-11T14:30:00Z,2018-07-11T14:30:00Z,Evento,#a9a9a9,NA
CD-MESA-PLEN,2016-12-13T14:59:00Z,2018-05-16T00:00:00Z,Local,NA,NA
PL667016,2018-05-16T00:00:00Z,2018-07-16T19:27:56Z,Local,NA,NA
NA,2016-12-13T14:59:00Z,2018-07-16T19:27:57Z,global,#f37340,0
